time,w1,w2,wb,acc
351,4.008759,-3.068298,1.114648,0.939000
352,4.008759,-3.068298,1.114648,0.939000
353,4.008759,-3.068298,1.114648,0.939000
354,4.008759,-3.068298,1.114648,0.939000
355,4.008759,-3.068298,1.114648,0.939000
356,4.008759,-3.068298,1.114648,0.939000
357,4.008759,-3.068298,1.114648,0.939000
358,4.008759,-3.068298,1.114648,0.939000
359,4.008759,-3.068298,1.114648,0.939000
360,4.008759,-3.068298,1.114648,0.939000
361,4.008759,-3.068298,1.114648,0.939000
362,4.008759,-3.068298,1.114648,0.939000
363,4.008759,-3.068298,1.114648,0.939000
364,4.008759,-3.068298,1.114648,0.939000
365,4.008759,-3.068298,1.114648,0.939000
366,3.408759,-3.808298,1.134648,0.974000
367,3.408759,-3.808298,1.134648,0.974000
368,5.028759,-2.328298,1.154648,0.843000
369,5.028759,-2.328298,1.154648,0.843000
370,5.028759,-2.328298,1.154648,0.843000
371,5.028759,-2.328298,1.154648,0.843000
372,5.028759,-2.328298,1.154648,0.843000
373,5.028759,-2.328298,1.154648,0.843000
374,5.028759,-2.328298,1.154648,0.843000
375,5.028759,-2.328298,1.154648,0.843000
376,5.028759,-2.328298,1.154648,0.843000
377,5.028759,-2.328298,1.154648,0.843000
378,4.068759,-4.308298,1.174648,0.991000
379,4.068759,-4.308298,1.174648,0.991000
380,4.068759,-4.308298,1.174648,0.991000
381,4.068759,-4.308298,1.174648,0.991000
382,4.068759,-4.308298,1.174648,0.991000
383,4.068759,-4.308298,1.174648,0.991000
384,4.068759,-4.308298,1.174648,0.991000
385,4.068759,-4.308298,1.174648,0.991000
386,4.068759,-4.308298,1.174648,0.991000
387,4.068759,-4.308298,1.174648,0.991000
388,4.068759,-4.308298,1.174648,0.991000
389,4.068759,-4.308298,1.174648,0.991000
390,4.068759,-4.308298,1.174648,0.991000
391,4.068759,-4.308298,1.174648,0.991000
392,4.068759,-4.308298,1.174648,0.991000
393,4.068759,-4.308298,1.174648,0.991000
394,4.068759,-4.308298,1.174648,0.991000
395,4.068759,-4.308298,1.174648,0.991000
396,4.068759,-4.308298,1.174648,0.991000
397,4.068759,-4.308298,1.174648,0.991000
398,4.068759,-4.308298,1.174648,0.991000
399,4.068759,-4.308298,1.174648,0.991000
400,4.068759,-4.308298,1.174648,0.991000
401,4.068759,-4.308298,1.174648,0.991000
402,4.068759,-4.308298,1.174648,0.991000
403,4.068759,-4.308298,1.174648,0.991000
404,4.068759,-4.308298,1.174648,0.991000
405,4.068759,-4.308298,1.174648,0.991000
406,4.068759,-4.308298,1.174648,0.991000
407,4.068759,-4.308298,1.174648,0.991000
408,4.068759,-4.308298,1.174648,0.991000
409,4.068759,-4.308298,1.174648,0.991000
410,4.068759,-4.308298,1.174648,0.991000
411,4.068759,-4.308298,1.174648,0.991000
412,4.068759,-4.308298,1.174648,0.991000
413,4.068759,-4.308298,1.174648,0.991000
414,4.068759,-4.308298,1.174648,0.991000
415,4.068759,-4.308298,1.174648,0.991000
416,4.068759,-4.308298,1.174648,0.991000
417,4.068759,-4.308298,1.174648,0.991000
418,4.068759,-4.308298,1.174648,0.991000
419,4.068759,-4.308298,1.174648,0.991000
420,4.068759,-4.308298,1.174648,0.991000
421,4.068759,-4.308298,1.174648,0.991000
422,4.068759,-4.308298,1.174648,0.991000
423,4.068759,-4.308298,1.174648,0.991000
424,4.068759,-4.308298,1.174648,0.991000
425,4.068759,-4.308298,1.174648,0.991000
426,4.068759,-4.308298,1.174648,0.991000
427,4.068759,-4.308298,1.174648,0.991000
428,4.068759,-4.308298,1.174648,0.991000
429,4.068759,-4.308298,1.174648,0.991000
430,4.068759,-4.308298,1.174648,0.991000
431,4.068759,-4.308298,1.174648,0.991000
432,4.068759,-4.308298,1.174648,0.991000
433,4.068759,-4.308298,1.174648,0.991000
434,4.068759,-4.308298,1.174648,0.991000
435,4.068759,-4.308298,1.174648,0.991000
436,4.068759,-4.308298,1.174648,0.991000
437,4.068759,-4.308298,1.174648,0.991000
438,4.068759,-4.308298,1.174648,0.991000
439,4.068759,-4.308298,1.174648,0.991000
440,4.068759,-4.308298,1.174648,0.991000
441,4.068759,-4.308298,1.174648,0.991000
442,4.068759,-4.308298,1.174648,0.991000
443,4.068759,-4.308298,1.174648,0.991000
444,4.068759,-4.308298,1.174648,0.991000
445,4.068759,-4.308298,1.174648,0.991000
446,4.068759,-4.308298,1.174648,0.991000
447,4.068759,-4.308298,1.174648,0.991000
448,4.068759,-4.308298,1.174648,0.991000
449,4.068759,-4.308298,1.174648,0.991000
450,4.068759,-4.308298,1.174648,0.991000
451,4.068759,-4.308298,1.174648,0.991000
452,4.068759,-4.308298,1.174648,0.991000
453,4.068759,-4.308298,1.174648,0.991000
454,4.068759,-4.308298,1.174648,0.991000
455,4.068759,-4.308298,1.174648,0.991000
456,5.608759,-2.848298,1.194648,0.856000
457,5.608759,-2.848298,1.194648,0.856000
458,5.608759,-2.848298,1.194648,0.856000
459,5.608759,-2.848298,1.194648,0.856000
460,5.608759,-2.848298,1.194648,0.856000
461,5.608759,-2.848298,1.194648,0.856000
462,5.608759,-2.848298,1.194648,0.856000
463,5.608759,-2.848298,1.194648,0.856000
464,4.808759,-3.988298,1.214648,0.952000
465,4.808759,-3.988298,1.214648,0.952000
466,4.808759,-3.988298,1.214648,0.952000
467,4.808759,-3.988298,1.214648,0.952000
468,4.808759,-3.988298,1.214648,0.952000
469,3.728759,-5.188298,1.234648,0.924000
470,3.728759,-5.188298,1.234648,0.924000
471,3.728759,-5.188298,1.234648,0.924000
472,3.728759,-5.188298,1.234648,0.924000
473,3.728759,-5.188298,1.234648,0.924000
474,3.728759,-5.188298,1.234648,0.924000
475,3.728759,-5.188298,1.234648,0.924000
476,3.728759,-5.188298,1.234648,0.924000
477,3.728759,-5.188298,1.234648,0.924000
478,3.728759,-5.188298,1.234648,0.924000
479,3.728759,-5.188298,1.234648,0.924000
480,3.728759,-5.188298,1.234648,0.924000
481,3.728759,-5.188298,1.234648,0.924000
482,3.728759,-5.188298,1.234648,0.924000
483,3.728759,-5.188298,1.234648,0.924000
484,3.728759,-5.188298,1.234648,0.924000
485,3.728759,-5.188298,1.234648,0.924000
486,3.728759,-5.188298,1.234648,0.924000
487,5.368759,-3.668298,1.254648,0.917000
488,5.368759,-3.668298,1.254648,0.917000
489,5.368759,-3.668298,1.254648,0.917000
490,5.368759,-3.668298,1.254648,0.917000
491,5.368759,-3.668298,1.254648,0.917000
492,4.088759,-4.948298,1.274648,0.953000
493,4.088759,-4.948298,1.274648,0.953000
494,4.088759,-4.948298,1.274648,0.953000
495,4.088759,-4.948298,1.274648,0.953000
496,4.088759,-4.948298,1.274648,0.953000
497,4.088759,-4.948298,1.274648,0.953000
498,4.088759,-4.948298,1.274648,0.953000
499,4.088759,-4.948298,1.274648,0.953000
500,4.088759,-4.948298,1.274648,0.953000
501,4.088759,-4.948298,1.274648,0.953000
502,4.088759,-4.948298,1.274648,0.953000
503,4.088759,-4.948298,1.274648,0.953000
504,4.088759,-4.948298,1.274648,0.953000
505,4.088759,-4.948298,1.274648,0.953000
506,4.088759,-4.948298,1.274648,0.953000
507,4.088759,-4.948298,1.274648,0.953000
508,5.508759,-3.628298,1.294648,0.907000
509,5.508759,-3.628298,1.294648,0.907000
510,5.508759,-3.628298,1.294648,0.907000
511,5.508759,-3.628298,1.294648,0.907000
512,5.508759,-3.628298,1.294648,0.907000
513,3.628759,-5.568298,1.314648,0.915000
514,3.628759,-5.568298,1.314648,0.915000
515,3.628759,-5.568298,1.314648,0.915000
516,3.628759,-5.568298,1.314648,0.915000
517,3.628759,-5.568298,1.314648,0.915000
518,3.628759,-5.568298,1.314648,0.915000
519,3.628759,-5.568298,1.314648,0.915000
520,4.108759,-5.188298,1.334648,0.947000
521,4.108759,-5.188298,1.334648,0.947000
522,4.108759,-5.188298,1.334648,0.947000
523,4.108759,-5.188298,1.334648,0.947000
524,4.108759,-5.188298,1.334648,0.947000
525,4.108759,-5.188298,1.334648,0.947000
526,4.108759,-5.188298,1.334648,0.947000
527,4.108759,-5.188298,1.334648,0.947000
528,4.108759,-5.188298,1.334648,0.947000
529,4.108759,-5.188298,1.334648,0.947000
530,4.988759,-4.328298,1.354648,0.963000
531,4.988759,-4.328298,1.354648,0.963000
532,4.988759,-4.328298,1.354648,0.963000
533,4.988759,-4.328298,1.354648,0.963000
534,4.988759,-4.328298,1.354648,0.963000
535,4.988759,-4.328298,1.354648,0.963000
536,4.988759,-4.328298,1.354648,0.963000
537,4.988759,-4.328298,1.354648,0.963000
538,4.988759,-4.328298,1.354648,0.963000
539,4.988759,-4.328298,1.354648,0.963000
540,4.988759,-4.328298,1.354648,0.963000
541,4.988759,-4.328298,1.354648,0.963000
542,4.988759,-4.328298,1.354648,0.963000
